Name,Party,Year,State,District,Incumbent,Winner,Raised,Spent,Cash on Hand,Individual Contributions,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Audrey Denney,D,2020,CA,01,False,False,2461769,2457661,4601,,851220,1482953,116688,0,10909,933255,2400,8612
Jared Huffman,D,2020,CA,02,True,True,899419,797753,922442,,55808,479514,377125,0,-13028,327536,0,0
Dale Mensing,R,2020,CA,02,False,False,5921,2197,5391,,0,400,5000,521,0,400,0,0
John Garamendi,D,2020,CA,03,True,True,1054066,667320,1111122,,31566,411196,618324,0,-7020,384114,7830,1350
Tamika Hamilton,R,2020,CA,03,False,False,397099,384584,12515,,173071,208919,14405,100,605,259578,750,225
Tom McClintock,R,2020,CA,04,True,True,2053363,2107248,171001,,518047,1135326,258985,0,141004,1859941,5500,5700
Brynne Kennedy,D,2020,CA,04,False,False,3006020,3002532,3489,,444894,1887644,255159,411680,6642,979012,7775,0
Mike Thompson,D,2020,CA,05,True,True,2208136,2022751,1746172,,146982,591047,1467431,0,2676,515355,0,0
Doris Matsui,D,2020,CA,06,True,True,1019605,1073529,269411,,6570,268240,748750,0,-3955,131740,2800,0
Christine Bish,R,2020,CA,06,False,False,44772,44554,965,,8202,3624,0,32447,500,100,0,0
Ami Bera,D,2020,CA,07,True,True,1757748,1053444,2029018,,144287,816652,864309,0,-67499,360371,1500,1456
Buzz Patterson,R,2020,CA,07,False,False,43876,29614,3532,,14288,27138,0,2500,-50,26837,0,300
Jay Obernolte,R,2020,CA,08,False,True,1861647,1792064,69583,,106895,314272,155998,1288000,-3518,98865,3100,1250
Chris Bubser,D,2020,CA,08,False,False,1858001,1856613,1388,,216396,1341256,173979,134030,-7661,569674,0,6050
Jerry McNerney,D,2020,CA,09,True,True,1177959,1112543,234173,,99538,602997,480090,0,-4666,575776,5850,500
Tony Amador,R,2020,CA,09,False,False,52175,52175,0,,9435,26700,5000,11090,-50,26700,0,0
Josh Harder,D,2020,CA,10,True,True,7400135,3950613,3469763,,817696,5252602,866939,0,462897,2404876,9667,0
Ted Howze,R,2020,CA,10,False,False,1426552,1721882,14241,,238422,763304,56986,343500,24341,791667,1500,11200
Mark Desaulnier,D,2020,CA,11,True,True,610394,440537,481388,,46152,163466,402277,0,-1500,96610,0,2250
Nisha Sharma,R,2020,CA,11,False,False,174954,171870,3085,,12316,150029,12500,0,108,137414,2000,26869
Nancy Pelosi,D,2020,CA,12,True,True,27359508,22064953,6299373,,15471503,8841636,1874066,0,1172303,7237841,12876,6800
Shahid Buttar,D,2020,CA,12,False,False,1672876,1650467,22417,,1067447,619664,3879,5514,-23628,302289,0,0
Barbara Lee,D,2020,CA,13,True,True,1828213,1750142,210374,,388842,958863,479849,0,659,360224,4945,349
Nikka Piterman,R,2020,CA,13,False,False,9839,9904,1293,,3671,2452,0,4052,-338,1750,0,0
Jackie Speier,D,2020,CA,14,True,True,942934,919599,1779772,,31338,627621,269419,0,14556,601041,5600,0
Eric Swalwell,D,2020,CA,15,True,True,2807774,3977839,502929,,410205,1899885,521650,0,-23966,1824045,42912,17420
Jim Costa,D,2020,CA,16,True,True,2135525,1835244,410171,,7305,899681,1233453,0,-4915,781801,15116,6800
Kevin Cookingham,R,2020,CA,16,False,False,265364,265364,0,,36183,214182,15000,0,0,209429,0,100
Ro Khanna,D,2020,CA,17,True,True,3837982,2455457,2261128,,458130,3448779,0,0,-68928,3129636,24350,6350
Ritesh Tandon,R,2020,CA,17,False,False,175536,175015,522,,37732,130253,7550,2,0,128851,1750,0
Anna Eshoo,D,2020,CA,18,True,True,2114909,2059158,552799,,42953,1086249,1000590,0,-14882,517745,1000,0
Rishi Kumar,D,2020,CA,18,False,False,674383,691938,-17555,,27381,512607,0,140000,-5605,473272,36685,1250
Zoe Lofgren,D,2020,CA,19,True,True,1755555,1731700,1160537,,36303,488175,538590,0,692487,727283,800,24730
Justin Aguilera,R,2020,CA,19,False,False,9112,11542,1441,,1612,2500,5000,0,0,2500,0,0
Jimmy Panetta,D,2020,CA,20,True,True,2009894,1592671,1175357,,64880,664156,1281097,0,-239,616352,10150,0
Jeff Gorman,R,2020,CA,20,False,False,67634,64947,2687,,13296,53338,0,1000,0,50720,0,0
TJ Cox,D,2020,CA,21,True,False,5695157,5694005,55943,,776359,3470840,1148731,0,299227,2855174,9150,20225
David Valadao,R,2020,CA,21,False,True,4067880,3982587,164211,,647336,2203485,634109,0,582951,2701210,2250,15840
Devin Nunes,R,2020,CA,22,True,True,26825212,20156093,10908033,,14122078,11452939,1014288,0,235907,8583039,87798,502084
Phil Arballo,D,2020,CA,22,False,False,5091451,5062185,29266,,2834415,2265863,71072,0,-79899,868603,5157,5166
Kevin McCarthy,R,2020,CA,23,True,True,27780644,24265583,4802133,,13373107,7880664,1686635,0,4840238,8514232,65406,134181
Kim Mangone,D,2020,CA,23,False,False,1671101,1665373,5728,,1175952,482438,27578,1409,-16276,357482,650,2925
Salud Carbajal,D,2020,CA,24,True,True,2117836,1451622,1400705,,121813,1382967,638538,0,-25481,1337813,2800,0
Andy Caldwell,R,2020,CA,24,False,False,1298798,1268199,34587,,191833,1103961,9500,0,-6496,1026045,20452,44049
Mike Garcia,R,2020,CA,25,True,True,9962507,9584648,377858,,4192678,4257666,897272,786,614104,4088567,43428,12036
Christy Smith,D,2020,CA,25,False,False,5977734,5808477,169258,,1532929,3195344,998331,5600,245530,2129954,9100,19364
Julia Brownley,D,2020,CA,26,True,True,1976695,1314677,3113430,,279992,858103,721250,0,117350,364603,4410,0
Ronda Kennedy,R,2020,CA,26,False,False,246226,67208,177973,,150690,86624,0,7912,1000,82624,4150,0
Judy Chu,D,2020,CA,27,True,True,1213706,956298,2781770,,45884,582572,591600,0,-6350,604961,0,1750
Johnny Nalbandian,R,2020,CA,27,False,False,39584,39159,462,,5144,6690,5000,22750,0,2200,0,0
Adam Schiff,D,2020,CA,28,True,True,19382855,10188664,13908271,,11427347,6153196,509394,0,1292919,5109853,35410,130340
Eric Early,R,2020,CA,28,False,False,4085322,3790027,295295,,2754098,1262904,7373,84000,-23051,838928,11176,289117
Tony Cardenas,D,2020,CA,29,True,True,1419697,1213588,529789,,13133,404687,1007850,0,-5973,133085,48,250
Angelica Duenas,3,2020,CA,29,False,False,78083,76627,1456,,44542,25645,5550,2347,0,25070,250,200
Brad Sherman,D,2020,CA,30,True,True,1513374,1111826,2624621,,12705,494848,697049,250000,58771,425673,2500,0
Pete Aguilar,D,2020,CA,31,True,True,2475748,1861434,1839594,,541021,825039,1090525,0,19163,385044,4260,670
Agnes Gibboney,R,2020,CA,31,False,False,138687,127907,10780,,69085,63552,6050,0,0,62652,1000,0
Grace Napolitano,D,2020,CA,32,True,True,478426,251047,533330,,2407,100884,374250,0,885,75082,0,500
Joshua Scott,R,2020,CA,32,False,False,23624,14248,10155,,9224,9400,5000,0,0,4500,0,4900
Ted Lieu,D,2020,CA,33,True,True,1661436,1582573,1944364,,124059,986371,516900,0,34106,361949,2750,0
James Bradley,R,2020,CA,33,False,False,78910,79035,0,,21559,60760,0,2590,-6000,55550,830,0
Jimmy Gomez,D,2020,CA,34,True,True,1401166,1268312,489519,,18656,362336,991447,0,28727,314693,3000,18900
David Kim,D,2020,CA,34,False,False,193430,80381,99638,,70618,108665,0,14003,144,100917,550,7135
Norma Torres,D,2020,CA,35,True,True,654727,664600,207654,,29659,158593,467975,0,-1500,37549,0,0
Mike Cargile,R,2020,CA,35,False,False,36113,35915,198,,6513,24600,5000,0,0,23410,0,0
Raul Ruiz,D,2020,CA,36,True,True,2402624,1732443,2316172,,379040,1081308,968325,0,-26049,360354,300,3300
Erin Cruz,R,2020,CA,36,False,False,54217,53840,782,,26793,21833,5280,0,311,364,0,0
Karen Bass,D,2020,CA,37,True,True,2216467,1202942,1325864,,33182,746341,836472,0,600472,1368801,2000,0
Errol Webber,R,2020,CA,37,False,False,66398,174076,0,,28086,25115,10000,864,2332,91342,1668,0
Linda Sanchez,D,2020,CA,38,True,True,1246008,1140165,840983,,22025,189493,1031021,0,3469,72625,400,0
Gil Cisneros,D,2020,CA,39,True,False,4370133,4350464,101108,,361343,2047992,1017340,511887,431570,835071,1011,50
Young Kim,R,2020,CA,39,False,True,6424556,6021651,408239,,2776996,2663999,527173,0,456388,2352734,13050,51030
Lucille Roybal-Allard,D,2020,CA,40,True,True,739790,741379,38543,,4296,203050,521211,0,11234,183679,1225,0
Antonio Delgado,R,2020,CA,40,False,False,85014,79270,5744,,12418,21770,10300,39842,684,20470,900,150
Mark Takano,D,2020,CA,41,True,True,1020456,949494,163964,,72508,612350,347364,0,-11767,287816,13550,500
Aja Smith,R,2020,CA,41,False,False,660658,659909,1016,,499710,160518,5500,750,-5820,156031,2925,1000
Ken Calvert,R,2020,CA,42,True,True,1441812,1549113,410599,,32289,742908,611550,0,55065,739889,0,0
Liam O'Mara,D,2020,CA,42,False,False,130065,128782,1283,,63631,46850,8250,12565,-1230,34923,0,0
Maxine Waters,D,2020,CA,43,True,True,1836660,1906957,320867,,53384,559463,855721,0,368092,288428,14750,140
Joe Collins,R,2020,CA,43,False,False,10556626,9921103,635523,,7461154,2911280,12890,100,171202,2853357,54310,42764
Nanette Barragan,D,2020,CA,44,True,True,1173909,714023,1050752,,37853,501414,634700,0,-58,403753,63,0
Katie Porter,D,2020,CA,45,True,True,16627706,6443700,10267752,,8647559,7117713,923134,0,-60700,2096432,3013,10600
Greg Raths,R,2020,CA,45,False,False,1245767,1241713,1998,,339942,866934,43280,5500,-9890,1200483,15019,0
Lou Correa,D,2020,CA,46,True,True,1192715,650707,1145701,,18141,335642,847982,0,-9050,170766,0,1250
Alan Lowenthal,D,2020,CA,47,True,True,678648,854902,393035,,32768,153751,491900,0,230,103393,2000,1000
John Briscoe,R,2020,CA,47,False,False,25302,21538,10390,,778,2150,5000,0,17374,1550,0,0
Harley Rouda,D,2020,CA,48,True,False,5968858,6174443,70080,,745946,3749594,1035451,0,437868,1618970,3075,5350
Michelle Steel,R,2020,CA,48,False,True,6305665,6148591,157074,,1146993,2309640,400752,1879107,569173,2101233,2675,8687
Mike Levin,D,2020,CA,49,True,True,3845768,2901566,1502261,,469333,2395547,771262,0,209625,1067140,3605,5068
Brian Maryott,R,2020,CA,49,False,False,2810253,2808217,11794,,414252,1361892,62199,893500,78410,1325983,2000,1938
Darrell Issa,R,2020,CA,50,False,True,11239670,10947106,292563,,2400314,2200459,414060,5931388,293449,2605452,2740,1218059
Ammar Campa-Najjar,D,2020,CA,50,False,False,6248210,6247762,3438,,2768218,3365833,271960,0,-157802,1739019,2863,283
Juan Vargas,D,2020,CA,51,True,True,799734,801671,69739,,1864,141600,614500,0,41770,135150,0,0
Juan Hidalgo,R,2020,CA,51,False,False,83730,81182,-8419,,1450,77280,1000,3000,1000,17621,1000,0
Scott Peters,D,2020,CA,52,True,True,1911791,2131849,1581118,,86163,562624,1210670,20555,31779,327690,3025,0
James Debello,R,2020,CA,52,False,False,233464,224630,8835,,16943,149022,7500,60000,0,387455,0,0
Sara Jacobs,D,2020,CA,53,False,True,7678363,7586186,102167,,54422,652888,66000,6921255,-16201,201871,100,0
Georgette Gomez,D,2020,CA,53,False,False,1691794,1663252,28542,,256158,1121240,325162,2000,-12765,472104,2600,2000
Cory Gardner,R,2020,CO,S2,True,False,28075081,27302790,1049344,,5865969,14824425,4059823,0,3324863,10847750,154078,1059461
John Hickenlooper,D,2020,CO,S2,False,True,43012518,41370435,1642083,,14795218,25067941,786813,5600,2356945,21736831,107651,355679
Diana DeGette,D,2020,CO,01,True,True,1201026,1077130,277373,,94446,468243,639050,0,-714,228593,500,0
Joseph Neguse,D,2020,CO,02,True,True,1353325,674602,893504,,122399,751906,478179,0,841,301293,378,0
Charles Winn,R,2020,CO,02,False,False,98338,98338,0,,15834,31259,0,50000,1245,34366,0,0
Alex Johnson,I,2020,CO,02,False,False,4782,4093,689,,0,250,0,3382,0,0,0,0
Diane Mitsch Bush,D,2020,CO,03,False,False,5008274,4984238,28455,,1276601,3455978,283044,7336,-14684,2314831,12539,3550
Lauren Boebert,R,2020,CO,03,False,True,2989510,2632716,356794,,1391105,1299676,160474,2005,136250,1294867,18900,189887
Chris Milton,3,2020,CO,03,False,False,12012,12012,0,,401,5850,0,5762,-1,5850,0,0
Ken Buck,R,2020,CO,04,True,True,478984,539393,290666,,12022,126618,338600,0,1743,95585,0,19100
Ike McCorkle,D,2020,CO,04,False,False,369871,217398,152473,,198279,167672,1316,28,2575,154406,137,5214
Douglas L Lamborn,R,2020,CO,05,True,True,540712,329011,428777,,7037,155025,379650,0,-1000,146925,0,5300
Jillian Freeland,D,2020,CO,05,False,False,185255,175548,553,,84290,70361,14000,15202,1402,63072,670,5098
Rebecca Keltie,3,2020,CO,05,False,False,2552,1495,2596,,0,0,0,0,2552,0,0,0
Jason Crow,D,2020,CO,06,True,True,4136137,2892443,1289005,,499325,2788460,777123,0,71230,1438568,3884,2100
Steven House,R,2020,CO,06,False,False,1200056,1198044,2012,,102952,859411,144606,55977,37110,768824,5800,950
Jaimie Kulikowski,3,2020,CO,06,False,False,72293,110645,0,,0,780,0,71513,0,0,0,0
Ed Perlmutter,D,2020,CO,07,True,True,1632262,1339482,1053696,,116810,452427,1066800,0,-3775,256152,200,9358
Casper Stockham,R,2020,CO,07,False,False,147872,147872,0,,76596,62314,9000,0,-38,42628,0,0
Anthony Malgieri,I,2020,CO,07,False,False,1930,1958,15,,630,1000,0,300,0,0,0,0
John Larson,D,2020,CT,01,True,True,1377238,1323690,422375,,35297,234190,1111093,0,-3343,224040,2000,4514
Mary Fay,R,2020,CT,01,False,False,26836,25118,1718,,12498,13965,373,0,0,13715,0,0
Joe Courtney,D,2020,CT,02,True,True,964731,999360,715813,,98418,265238,587250,105,13720,224167,50,13621
Justin Anderson,R,2020,CT,02,False,False,80227,78767,1460,,17342,10496,0,52090,300,11745,0,0
Rosa L DeLauro,D,2020,CT,03,True,True,1938999,1795635,159728,,130674,1004114,774300,0,29911,656276,6050,250
Margaret Streicker,R,2020,CT,03,False,False,1839080,1835385,3695,,26321,346160,31334,1456345,-21080,230430,2500,1860
Justin Paglino,3,2020,CT,03,False,False,29200,28670,529,,590,3048,0,25162,400,2598,50,400
Jim Himes,D,2020,CT,04,True,True,1612935,2180029,1823200,,74086,555988,831650,0,151211,231355,3300,0
Jonathan Riddle,R,2020,CT,04,False,False,31591,17385,11976,,5155,14850,600,10986,0,15850,0,500
Jahana Hayes,D,2020,CT,05,True,True,2037826,1564685,1029607,,298233,1001343,667029,0,71221,577163,1270,31600
David Sullivan,R,2020,CT,05,False,False,397395,397370,25,,116698,260103,10500,6895,3200,257179,70,0
Chris Coons,D,2020,DE,S2,True,True,7145796,6023516,1840513,,338292,4401629,2377637,70509,-42274,1538522,3350,0
Lauren Witzke,R,2020,DE,S2,False,False,468650,465316,3334,,244468,223062,850,25,244,211451,8762,4619
Jessica Scarane,D,2020,DE,S2,False,False,418560,355933,62628,,242722,166252,7869,2124,-406,127062,500,0
James DeMartino,R,2020,DE,S2,False,False,55943,28916,27027,,17233,17210,0,21500,0,13650,0,3560
Lisa Blunt Rochester,D,2020,DE,01,True,True,2024201,1305618,963766,,144385,741627,1142909,0,-4720,462421,12750,2650
Lee Murphy,R,2020,DE,01,False,False,131394,131862,247,,49821,60434,4633,0,16505,55046,600,2793
Matthew Morris,R,2020,DE,01,False,False,10070,10400,-100,,2100,3300,0,4670,0,1650,0,0
Catherine Purcell,I,2020,DE,01,False,False,5344,5103,0,,241,0,0,5103,0,0,0,0
Matt Gaetz,R,2020,FL,01,True,True,5946646,4482782,1605826,,3870740,2114598,63050,0,-101743,1742528,13527,733567
Phil Ehr,D,2020,FL,01,False,False,2025099,1900451,124648,,1280842,726599,25250,176,-7767,438906,250,19810
Bert Oram,I,2020,FL,01,False,False,8108,7070,1039,,108,8000,0,0,0,8000,0,0
Neal Dunn,R,2020,FL,02,True,True,653488,637580,402063,,11722,244700,348800,0,48266,319500,0,2000
Kristy Thripp,I,2020,FL,02,False,False,145,145,0,,135,0,0,10,0,0,0,0
Kat Cammack,R,2020,FL,03,False,True,1122188,1090334,31853,,77834,702925,276045,40000,25384,492279,0,27310
Adam Christensen,D,2020,FL,03,False,False,216021,219108,43481,,148384,67836,6200,0,-6400,67330,500,0
John Rutherford,R,2020,FL,04,True,True,1024912,1283701,106937,,18538,444550,490300,0,71524,508200,0,6550
Donna Deegan,D,2020,FL,04,False,False,1013157,1013157,0,,298362,704302,22334,0,-11841,382774,1992,625
Al Lawson,D,2020,FL,05,True,True,848498,695779,167392,,21951,255506,606600,0,-35558,190596,3750,13600
Gary Adler,R,2020,FL,05,False,False,146909,146909,0,,5579,39365,0,101965,0,38115,0,0
Michael Waltz,R,2020,FL,06,True,True,2549667,1716768,884460,,776190,1433578,494506,0,-154607,1088289,6245,283490
Clint Curtis,D,2020,FL,06,False,False,24310,22251,12647,,4785,10416,0,6809,2300,10415,0,91
Gerry Nolan,I,2020,FL,06,False,False,4467,5256,-789,,0,3000,0,1467,0,2900,0,0
Stephanie Murphy,D,2020,FL,07,True,True,3124692,1798549,1412017,,95061,1157172,1770139,0,102320,897769,5748,28540
Leo Valentin,R,2020,FL,07,False,False,1045426,1031316,14110,,109976,556352,35400,210001,133696,621302,21191,31081
Bill Garlington,I,2020,FL,07,False,False,11000,0,11000,,450,10550,0,0,0,3550,0,0
Bill Posey,R,2020,FL,08,True,True,985268,1121834,169964,,94338,471290,423376,0,-3736,445740,0,9950
James Kennedy,D,2020,FL,08,False,False,138568,138790,836,,34827,26073,1071,75100,1497,22973,0,0
Darren Soto,D,2020,FL,09,True,True,1111750,945868,172401,,12458,307809,793483,0,-2001,134533,250,500
William Olson,R,2020,FL,09,False,False,404406,401088,3318,,245661,146208,5048,8300,-811,139758,805,5045
Val Demings,D,2020,FL,10,True,True,1876047,1191020,771422,,166975,930083,777840,0,1148,327007,6550,3850
Vennia Francois,R,2020,FL,10,False,False,335480,332852,9289,,35099,287131,13250,0,0,272212,0,14250
Kristofer Steven Lawson,I,2020,FL,10,False,False,47,47,0,,47,0,0,0,0,0,0,0
Daniel Webster,R,2020,FL,11,True,True,691261,586965,210702,,129339,374885,188567,0,-1530,371720,1000,750
Dana Cottrell,D,2020,FL,11,False,False,62658,62380,0,,32809,29850,0,0,0,29749,0,0
Gus Bilirakis,R,2020,FL,12,True,True,1604137,1548634,75110,,110986,711776,781650,0,-275,632381,26750,16275
Kim Walker,D,2020,FL,12,False,False,42802,33544,9258,,790,25492,100,12921,3500,17082,875,175
Charlie Crist,D,2020,FL,13,True,True,2720646,3980695,419008,,144793,1916656,720903,0,-61706,1613500,7600,500
Anna Paulina Luna,R,2020,FL,13,False,False,3302944,3262236,40708,,1516523,1668235,76100,0,42087,562976,20166,45863
Kathy Castor,D,2020,FL,14,True,True,884651,1201653,423402,,55173,335170,496836,0,-2528,165492,1400,200
Christine Quinn,R,2020,FL,14,False,False,242144,241187,958,,19296,56723,5000,161151,-25,56546,300,0
Alan Cohn,D,2020,FL,15,False,False,2333053,2300197,32856,,368742,1461117,220400,8400,274394,1296885,23622,55262
Scott Franklin,R,2020,FL,15,False,True,1663898,1638417,25481,,55560,692638,362100,550000,3600,109933,250,78850
Vernon Buchanan,R,2020,FL,16,True,True,3094611,3100766,73085,,93879,1365172,1398245,125000,112315,1412408,41450,0
Margaret Good,D,2020,FL,16,False,False,3411924,3407845,4080,,655315,2389411,315615,3735,47848,1372357,6436,18475
Greg Steube,R,2020,FL,17,True,True,759908,621200,323776,,62735,314295,351075,0,31803,334770,250,11550
Allen Ellison,D,2020,FL,17,False,False,83481,78243,6156,,47278,30795,1100,1000,3308,22133,0,750
Brian Mast,R,2020,FL,18,True,True,6128177,5301307,994362,,2341334,2538611,833184,0,415048,2576969,3335,394109
Pam Keith,D,2020,FL,18,False,False,1639873,1632736,7137,,475954,1049865,96640,0,17414,922238,2550,6550
Byron Donalds,R,2020,FL,19,False,True,3219579,2738685,480894,,1098788,1816900,320250,0,-16359,1153991,9432,55948
Cindy Banyai,D,2020,FL,19,False,False,214750,203430,11320,,101678,111704,500,869,0,76180,737,1000
Alcee Hastings,D,2020,FL,20,True,True,607649,543316,149865,,3909,218051,351189,0,34500,206213,9561,0
Greg Musselwhite,R,2020,FL,20,False,False,28955,27538,1418,,7746,8700,0,9603,2906,4150,0,0
Lois J Frankel,D,2020,FL,21,True,True,1534882,1309786,1192171,,136613,877421,530638,0,-9790,584646,1300,3250
Laura Loomer,R,2020,FL,21,False,False,2271604,2240689,30915,,1131593,1138725,12200,2800,-13714,972316,12290,55367
Charleston Malkemus,I,2020,FL,21,False,False,28928,28636,292,,804,500,0,27624,0,500,0,0
Ted Deutch,D,2020,FL,22,True,True,1364438,1265494,459816,,39486,1033951,294597,0,-3595,762951,29700,5800
Jim Pruden,R,2020,FL,22,False,False,278416,278416,0,,9323,69460,0,196233,3400,69210,0,250
Debbie Wasserman Schultz,D,2020,FL,23,True,True,2191922,1979903,616233,,244658,1273036,656648,0,17580,626502,5600,1443
Carla Spalding,R,2020,FL,23,False,False,919579,903561,16018,,644108,273967,2792,10,-1297,165653,635,64
Frederica Wilson,D,2020,FL,24,True,True,412592,321019,420585,,2657,37760,372175,0,0,24845,1240,0
Lavern Spicer,R,2020,FL,24,False,False,34973,34909,64,,3324,11750,200,22199,-2500,10950,0,0
Christine Olivo,I,2020,FL,24,False,False,31646,32898,-956,,14496,7385,0,9765,0,3838,0,3547
Mario Diaz-Balart,R,2020,FL,25,True,True,1590134,804054,933244,,2606,600960,986569,0,0,446659,500,0
Debbie Mucarsel-Powell,D,2020,FL,26,True,False,6793521,6822740,10598,,788133,4240214,1280433,0,484741,3941407,50837,12417
